PublishStatus,Experiment,Citation,Iteminformation,MetaManipulation,TotParticipants,MetaParticipants,MetaModification,RatingScaleSize,MetaKeymanipulation,MetaStimuli,TotManipulation,TotDesign,TotStimuli,ContainsRT,Trialorderpreserved,Trialsperperson,Confidenceprocedure,Delaytotest
Publish,DR2012_e1b,"Dube, C., & Rotello, C. M. (2012). Binary ROCs in perception and recognition memory are curved. Journal of Experimental Psychology: Learning, Memory, and Cognition, 38(1), 130–151. doi:10.1037/a0024957 (Exp 1b)",No,Between-subjects,49,49,,6,Type of stimuli,Line drawings and words (5 - 8 letters),Between-subjects,"2 Type of stimuli (line drawings, words)",Line drawings and words (5 - 8 letters),Yes,Yes,400,old/new + confidence,immediate
Publish,DW2020_e1,"Delay, C. G., & Wixted, J. T. (2020). Discrete-state versus continuous models of the confidence-accuracy relationship in recognition memory. Psychonomic Bulletin & Review, 28(2), 556–564. doi:10.3758/s13423-020-01831-7",Yes,Between-subjects,48,48,,6,Instructions for confidence judgments,Words,Between-subjects,"3 Instructions for confidence judgments (demand to spread confidence ratings, no demand to spread confidence ratings, free to use scale in any way)",Words,Yes,Yes,144,confidence,immediate
Publish,FBH2013_e1,"Fellner, M.-C., Bäuml, K.-H. T., & Hanslmayr, S. (2013). Brain oscillatory subsequent memory effects differ in power and long-range synchronization between semantic and survival processing. NeuroImage, 79, 361–370. doi:10.1016/j.neuroimage.2013.04.121",Yes,Within-subjects (Encoding manipulation),18,18,,6,Encoding instructions (animacy / survival),Words,Within-subjects (Encoding manipulation),2 Encoding instructions (animacy / survival),Words,No,Yes,450,confidence,10 min
Publish,FGR2019_e1,"Fellner, M.-C., Gollwitzer, S., Rampp, S., Kreiselmeyr, G., Bush, D., Diehl, B., … Hanslmayr, S. (2019). Spectral fingerprints or spectral tilt? Evidence for distinct oscillatory signatures of memory formation. PLOS Biology, 17(7), e3000403. doi:10.1371/journal.pbio.3000403",Yes,None,32,32,Only words condition (between-block). Only control group.,6,,Words,Within-subjects (Between-blocks),"2 Type of stimuli (faces, words)","Words, Faces",No,Yes,528,confidence,5 min
Publish,FO2016_e2a,"Fawcett, J. M., & Ozubko, J. D. (2016). Familiarity, but not recollection, supports the between-subject production effect in recognition memory. Canadian Journal of Experimental Psychology/Revue Canadienne de Psychologie Expérimentale, 70(2), 99–115. doi:10.1037/cep0000089 (Exp 2a)",Yes,Within-subjects (Encoding manipulation),25,25,,6,Encoding instructions (silent / out-loud production),Words (3 - 12 letters),Within-subjects (Encoding manipulation),2 Encoding instructions (silent / out-loud production),Words (3 - 12 letters),Yes,Yes,240,confidence,immediate
Publish,FO2016_e2b,"Fawcett, J. M., & Ozubko, J. D. (2016). Familiarity, but not recollection, supports the between-subject production effect in recognition memory. Canadian Journal of Experimental Psychology/Revue Canadienne de Psychologie Expérimentale, 70(2), 99–115. doi:10.1037/cep0000089 (Exp 2b)",Yes,Between-subjects,44,44,,6,Encoding instructions (silent / out-loud production),Words (3 - 12 letters),Between-subjects,2 Encoding instructions (silent / out-loud production),Words (3 - 12 letters),Yes,Yes,240,confidence,immediate
Publish,FO2016_e3,"Fawcett, J. M., & Ozubko, J. D. (2016). Familiarity, but not recollection, supports the between-subject production effect in recognition memory. Canadian Journal of Experimental Psychology/Revue Canadienne de Psychologie Expérimentale, 70(2), 99–115. doi:10.1037/cep0000089 (Exp 3)",Yes,Between-subjects,269,150,Sampled 150 participants,6,Encoding instructions (silent / out-loud production) x study-list length,Words (3 - 12 letters),Between-subjects,"2 Encoding instructions (silent / out-loud production) x 3 study-list length (standard, short, short + XXX filler)",Words (3 - 12 letters),Yes,Yes,"240 in standard, 120 in short condition",confidence,immediate
Publish,GKH1999_e1,"Glanzer, M., Kim, K., Hilford, A., & Adams, J. K. (1999). Slope of the receiver-operating characteristic in recognition memory. Journal of Experimental Psychology: Learning, Memory, and Cognition, 25(2), 500–513. doi:10.1037/0278-7393.25.2.500 (Exp 1)",No,Within-subjects (Within-block),40,40,"Recoded: isold  HighF_New_0 = 0, remainder = 1 (i.e. LowF_New_0 = 1)",8,Word Frequency x Study Duration,"Words (high, low frequency; 4 - 9 letters)",Within-subjects (Within-block),"2 Word Frequency (High, Low) x 2 isold (Old/new) x 2 Study Duration (Long, Short)","Words (high, low frequency; 4 - 9 letters)",Yes,Yes,480,confidence,immediate
Publish,GKH1999_e2,"Glanzer, M., Kim, K., Hilford, A., & Adams, J. K. (1999). Slope of the receiver-operating characteristic in recognition memory. Journal of Experimental Psychology: Learning, Memory, and Cognition, 25(2), 500–513. doi:10.1037/0278-7393.25.2.500 (Exp 2)",No,Within-subjects (Encoding manipulation),30,30,,6,Study Duration,"Words (high, low frequency; 4 - 9 letters)",Within-subjects (Encoding manipulation),"2 Study Duration (Long, Short)","Words (high, low frequency; 4 - 9 letters)",Yes,Yes,480,confidence,immediate
Publish,GKH1999_e3,"Glanzer, M., Kim, K., Hilford, A., & Adams, J. K. (1999). Slope of the receiver-operating characteristic in recognition memory. Journal of Experimental Psychology: Learning, Memory, and Cognition, 25(2), 500–513. doi:10.1037/0278-7393.25.2.500 (Exp 3)",No,Within-subjects (Encoding manipulation),30,30,,6,Encoding Task,"Words (high, low frequency; 4 - 9 letters)",Within-subjects (Encoding manipulation),"2 Encoding Task(lexical decision, letter counting)","Words (high, low frequency; 4 - 9 letters)",Yes,Yes,480,confidence,immediate
Publish,GKH1999_e4,"Glanzer, M., Kim, K., Hilford, A., & Adams, J. K. (1999). Slope of the receiver-operating characteristic in recognition memory. Journal of Experimental Psychology: Learning, Memory, and Cognition, 25(2), 500–513. doi:10.1037/0278-7393.25.2.500 (Exp 4)",No,Within-subjects (Encoding manipulation),30,30,,6,Repetition at encoding,"Words (high, low frequency; 4 - 9 letters)",Within-subjects (Encoding manipulation),"2 Repetition at encoding (repeated, not repeated","Words (high, low frequency; 4 - 9 letters)",Yes,Yes,480,confidence,immediate
Publish,HDM2006_e1,"Heathcote, A., Ditton, E., & Mitchell, K. (2006). Word frequency and word likeness mirror effects in episodic recognition memory. Memory & Cognition, 34(4), 826–838. doi:10.3758/bf03193430 (Exp 1)",No,None,16,16,,6,,Words,None,,Words,No,No,560,confidence,immediate
Publish,HDM2006_e2,"Heathcote, A., Ditton, E., & Mitchell, K. (2006). Word frequency and word likeness mirror effects in episodic recognition memory. Memory & Cognition, 34(4), 826–838. doi:10.3758/bf03193430 (Exp 2)",No,None,23,23,,6,,Words,None,,Words,No,No,560,confidence,immediate
Publish,HUW2015_e1,"Hutchinson, J. B., Uncapher, M. R., & Wagner, A. D. (2015). Increased functional connectivity between dorsal posterior parietal and ventral occipitotemporal cortex during uncertain memory decisions. Neurobiology of Learning and Memory, 117, 71–83. doi:10.1016/j.nlm.2014.04.015",No,Between-subjects,26,26,,5,Judgment at test (judge oldness OR newness),Words,Between-subjects,2 Judgment at test (judge oldness OR newness),Words,Yes,Yes,300,confidence,20 minutes
Publish,JCD2012_e1a,"Jaeger, A., Cox, J. C., & Dobbins, I. G. (2012). Recognition confidence under violated and confirmed memory expectations. Journal of Experimental Psychology: General, 141(2), 282–301. doi:10.1037/a0025687 (Exp 1a)",No,None,32,32,only uncued block,6,,Words,Within-subjects,"2 Cue (absent, present) between-blocks. Where present: 2 Cue (Valid, Invalid) x 2 Isold (Old, New)",Words,Yes,Yes,480,confidence,immediate
Publish,JCD2012_e1b,"Jaeger, A., Cox, J. C., & Dobbins, I. G. (2012). Recognition confidence under violated and confirmed memory expectations. Journal of Experimental Psychology: General, 141(2), 282–301. doi:10.1037/a0025687 (Exp 1b)",No,None,32,32,only uncued block,6,,Words,Within-subjects,"2 Cue (absent, present) between-blocks. Where present: 2 Cue (Valid, Invalid) x 2 Isold (Old, New)",Words,Yes,Yes,480,confidence,immediate
Publish,JCD2012_e2,"Jaeger, A., Cox, J. C., & Dobbins, I. G. (2012). Recognition confidence under violated and confirmed memory expectations. Journal of Experimental Psychology: General, 141(2), 282–301. doi:10.1037/a0025687 (Exp 1b)",No,,25,,,6,,Words,Within-subjects (Within-block),"3 Encoding task (Baseline,Deep, Shallow) x 3 Cue (Absent, valid, invalid) x 2 isold (old, new)",Words,Yes,Yes,450,confidence,immediate
Publish,JCM2019_e1,"Juola, J. F., Caballero-Sanz, A., Muñoz-García, A. R., Botella, J., & Suero, M. (2019). Familiarity, recollection, and receiver-operating characteristic (ROC) curves in recognition memory. Memory & Cognition, 47(4), 855–876. doi:10.3758/s13421-019-00922-8",No,None,47,47,only unbiased block,6,,Words (common),Within-subjects (between-blocks),"5 Target frequency (85, 65, 50, 35, 15% old items)",Words (common),Yes,Yes,500,confidence,immediate
Publish,JKD2013_e1,"Jaeger, Antonio, Konkel, Alex and Dobbins, Ian G.",No,,15,,,8,,Words,Within-subjects (Within-block),"3 Cue (LikelyOld, LikelyNew,Uncued) x 2 Isold (Old,New)",Words,Yes,Yes,480,confidence,immediate
Publish,JW2019_e1,"Jones, A., & Ward, E. V. (2019). Rhythmic Temporal Structure at Encoding Enhances Recognition Memory. Journal of Cognitive Neuroscience, 31(10), 1549–1562. doi:10.1162/jocn_a_01431",Yes,Within-subjects (Encoding manipulation),23,23,,6, Temporal structure at encoding (Rhythmic / arrythmic),Images of everyday objects,Within-subjects (Encoding manipulation),2 temporal structure at encoding (Rhythmic / arrythmic),Images of everyday objects,Yes,No,480,confidence,immediate
Publish,JWH2009_e1,"Jang, Y., Wixted, J. T., & Huber, D. E. (2009). Testing signal-detection models of yes/no and two-alternative forced-choice recognition memory. Journal of Experimental Psychology: General, 138(2), 291–306. doi:10.1037/a0015525",No,None,33,33,,6,,"Words (common, 5 - 8 letters)",None,,"Words (common, 5 - 8 letters)",No,No,140,confidence,immediate
Publish,KAWY2013_e2,"Koen, J. D., Aly, M., Wang, W.-C., & Yonelinas, A. P. (2013). Examining the causes of memory strength variability: Recollection, attention failure, or encoding variability? Journal of Experimental Psychology: Learning, Memory, and Cognition, 39(6), 1726–1741. doi:10.1037/a0033671 (Exp 2)",Yes,Within-subjects (Between-blocks),48,48,,6,Divided attention at test,Words,Within-subjects (Between-blocks),"2 Divided attention at test (Full, Divided)",Words,Yes,Yes,400,confidence,immediate
Publish,KAWY2013_e3,"Koen, J. D., Aly, M., Wang, W.-C., & Yonelinas, A. P. (2013). Examining the causes of memory strength variability: Recollection, attention failure, or encoding variability? Journal of Experimental Psychology: Learning, Memory, and Cognition, 39(6), 1726–1741. doi:10.1037/a0033671 (Exp 3)",Yes,Within-subjects (Encoding manipulation),24,24,,6,Context for study items at test,Line drawings of objects,Within-subjects (Encoding manipulation),"2 Context (Same as at study, Different to study)",Line drawings of objects,Yes,Yes,180,confidence,immediate
Publish,KAWY2013_e4,"Koen, J. D., Aly, M., Wang, W.-C., & Yonelinas, A. P. (2013). Examining the causes of memory strength variability: Recollection, attention failure, or encoding variability? Journal of Experimental Psychology: Learning, Memory, and Cognition, 39(6), 1726–1741. doi:10.1037/a0033671 (Exp 4)",Yes,Within-subjects (Encoding manipulation),48,48,,6,Delay to test,Words,Within-subjects (Encoding manipulation),"2 Delay to test (immediate, 1 day)",Words,Yes,Yes,600,confidence,"immediate, 1 day"
Publish,KFH2013_e1,"Kuchinke, L., Fritzemeier, S., Hofmann, M. J., & Jacobs, A. M. (2013). Neural correlates of episodic memory: Associative memory and confidence drive hippocampus activations. Behavioural Brain Research, 254, 92–101. doi:10.1016/j.bbr.2013.04.035",Yes,Within-subjects (Within-block),20,20,"Recoded: isold: ""HighA_HighF_0"" = 0, remainder = 1",6,Word frequency x Associates within-block,Words,Within-subjects (Within-block),"2 Word frequency (high, low) x 2 Associates (high, low) x 2 Isold (Old, New)",Words,Yes,Yes,256,confidence,immediate
Publish,KK2015_e1,"Kark, S. M., & Kensinger, E. A. (2015). Effect of emotional valence on retrieval-related recapitulation of encoding activity in the ventral visual stream. Neuropsychologia, 78, 221–230. doi:10.1016/j.neuropsychologia.2015.10.014",Yes,Within-subjects (Within-block),26,26,"Recoded: isold: ""ValNegative_0"" = 0, remainder = 1",4,Valence,IAPS images,Within-subjects (Within-block),"3 Valence (positive, negative, neutral) x 2 Isold (Old, New)",IAPS images,Yes,Yes,300,confidence,20 minutes
Publish,KL2012_e1,"Kantner, J., & Lindsay, D. S. (2012). Response bias in recognition memory as a cognitive trait. Memory & Cognition, 40(8), 1163–1177. doi:10.3758/s13421-012-0226-0 (Exp 1)",No,None,41,41,,6,,Words (4 - 8 letters),Within-subjects (Between-block),"2 Blocks (Block1, Block2)",Words (4 - 8 letters),Yes,Yes,192,confidence,immediate
Publish,KL2012_e2,"Kantner, J., & Lindsay, D. S. (2012). Response bias in recognition memory as a cognitive trait. Memory & Cognition, 40(8), 1163–1177. doi:10.3758/s13421-012-0226-0 (Exp 2)",No,None,46,46,,6,,Words (4 - 8 letters),Within-subjects (Between-block),"2 Blocks (Block1, Block2)",Words (4 - 8 letters),Yes,Yes,192,confidence,immediate
Publish,KL2012_e3,"Kantner, J., & Lindsay, D. S. (2012). Response bias in recognition memory as a cognitive trait. Memory & Cognition, 40(8), 1163–1177. doi:10.3758/s13421-012-0226-0 (Exp 3)",No,Between-subjects,143,143,"Used only first of two blocks from all conditions, so collapsed conditions by the stimulus type in that first block, i.e., reduced 4 bs x 2 blocks to 2 bs design.",6,Type of stimuli,Words (4 - 8 letters) and images of paintings,Mixed,"2 Blocks (Block1, Block2) x 4 stimulus domain (Word-Word, Word-Picture, Picture-Word,Picture-Picture)",Words (4 - 8 letters) and images of paintings,Yes,Yes,192,confidence,immediate
Publish,KL2012_e4,"Kantner, J., & Lindsay, D. S. (2012). Response bias in recognition memory as a cognitive trait. Memory & Cognition, 40(8), 1163–1177. doi:10.3758/s13421-012-0226-0 (Exp 4)",No,None,50,50,,6,,Words (4 - 8 letters),None,,Words (4 - 8 letters),Yes,Yes,96,confidence,immediate
Publish,KUO2017_e2,"Kempnich, M., Urquhart, J. A., O’Connor, A. R., & Moulin, C. J. A. (2017). Evidence for the Contribution of A Threshold Retrieval Process to Semantic Memory. Quarterly Journal of Experimental Psychology, 70(10), 2026–2047. doi:10.1080/17470218.2016.1220607 (Exp 2)",Yes,None,316,150,Excluded 7 participants with opposite responding. Sampled 150 participants.,6,,Words (common),None,,Words (common),Yes,Yes,100,confidence,immediate
Publish,KY2010_e1,"Koen, J. D., & Yonelinas, A. P. (2010). Memory variability is due to the contribution of recollection and familiarity, not to encoding variability. Journal of Experimental Psychology: Learning, Memory, and Cognition, 36(6), 1536–1542. doi:10.1037/a0020448 (Exp 1)",Yes,Within-subjects (between-block),32,32,,6,Study duration,"Words (7 letters, low frequency)",Within-subjects (between-block),"2 Study duration (Fixed, Variable)","Words (7 letters, low frequency)",Yes,Yes,640,confidence,immediate
Publish,KY2011_e1,"Koen, J. D., & Yonelinas, A. P. (2011). From humans to rats and back again: Bridging the divide between human and animal studies of recognition memory with receiver operating characteristics. Learning & Memory, 18(8), 519–522. doi:10.1101/lm.2214511 (Exp 1)",Yes,None,21,21,,6,,Words (medium to high frequency),None,,Words (medium to high frequency),Yes,Yes,600,confidence,immediate
Publish,KY2016_e1,"Koen, J. D., & Yonelinas, A. P. (2016). Recollection, not familiarity, decreases in healthy ageing: Converging evidence from four estimation methods. Memory, 24(1), 75–88. doi:10.1080/09658211.2014.985590",No,Within-subjects (Encoding manipulation),39,39,,6,Encoding manipulation (deep / shallow encoding),Words (2 - 9 letters),Within-subjects (Encoding manipulation),"2 Encoding task (deep, shallow)",Words (2 - 9 letters),No,No,480,confidence,immediate
Publish,LBA2019_e1,"Leynes, P. A., Batterman, A., & Abrimian, A. (2019). Expectations alter recognition and event-related potentials (ERPs). Brain and Cognition, 135, 103573. doi:10.1016/j.bandc.2019.05.011 (Exp 1)",Yes,None,32,32,Only no-instructions blocks,8,,Images of abstract art,Within-subjects (between-block),"3 Bias instructions (No bias, Old-bias, New-bias)",Images of abstract art,Yes,No,300,old/new + confidence,immediate
Publish,LBA2019_e2,"Leynes, P. A., Batterman, A., & Abrimian, A. (2019). Expectations alter recognition and event-related potentials (ERPs). Brain and Cognition, 135, 103573. doi:10.1016/j.bandc.2019.05.011 (Exp 2)",Yes,None,32,32,Only no-instructions blocks,8,,Images of abstract art,Within-subjects (between-block),"3 Bias instructions (No bias, Old-bias, New-bias)",Images of abstract art,Yes,No,300,old/new + confidence,immediate
Publish,LM2020_e1,"Leynes, P. A., & Mok, B. A. (2020). Context influences the FN400 recognition event-related potential. International Journal of Psychophysiology, 158, 16–26. doi:10.1016/j.ijpsycho.2020.09.006",Yes,Within-subjects (between-block),30,30,,6,Type of stimuli,Images of products and abstract patterns,Within-subjects (between-block),"4 Type of stimuli (images of dots, swirls, brands and off-brands)",Images of products and abstract patterns,Yes,Yes,400,old/new + confidence,immediate
Publish,LP2006_e2,"Mulligan, N. W., & Lozito, J. P. (2006). An Asymmetry Between Memory Encoding and Retrieval. Revelation, Generation, and Transfer-Appropriate Processing. Psychological Science, 17(1), 7–11. doi:10.1111/j.1467-9280.2005.01657.x (Exp 2)",No,Between-subjects,48,48,,6,Stimuli-match study-test (intact/anagram),"Words (common, 8 letters)",Between-subjects,"2 Encoding stimulus (Intact, Anagram) x 2 Test stimulus (Intact, Anagram)","Words (common, 8 letters)",No,No,80,confidence,3 minutes
Publish,LP2013_e1,"Lucas, H. D., & Paller, K. A. (2013). Manipulating letter fluency for words alters electrophysiological correlates of recognition memory. NeuroImage, 83, 849–861. doi:10.1016/j.neuroimage.2013.07.039",Yes,Within-subjects (between-block),16,16,,4,"Relatedness of lures (share letters / do not share letters), between-blocks",Words,Within-subjects (between-block),"2 Relatedness of lures (share letters, do not share letters), between-blocks",Words,No,Yes,480,confidence,immediate
Publish,LP2013_e2,"Lucas, H. D., & Paller, K. A. (2013). Manipulating letter fluency for words alters electrophysiological correlates of recognition memory. NeuroImage, 83, 849–861. doi:10.1016/j.neuroimage.2013.07.039",Yes,Within-subjects (between-block),14,14,"Recoded: isold: ""Related_Lures"" = 1",4,"Relatedness of lures (share letters / do not share letters), between-blocks",Words,Within-subjects (within-blocks),"2 Relatedness of lures (share letters, do not share letters), within-block",Words,No,Yes,480,confidence,immediate
Publish,MKG2018_e2,"McAdoo, R. M., Key, K. N., & Gronlund, S. D. (2018). Stimulus effects and the mediation of recognition memory. Journal of Experimental Psychology: Learning, Memory, and Cognition, 44(11), 1814–1823. doi:10.1037/xlm0000550",Yes,Within-subjects (Encoding manipulation),85,85,,6,"Repetition at encoding, within-block",Words,Within-subjects (Encoding manipulation),"2 Repetition at encoding (1 time, 3 times)",Words,No,Yes,200,confidence,five minutes
Publish,MKG2019_e1,"McAdoo, R. M., Key, K. N., & Gronlund, S. D. (2018). Task effects determine whether recognition memory is mediated discretely or continuously.Memory & cognition, 47, 683–695. doi:10.3758/s13421-019-00894-9",Yes,Within-subjects (Encoding manipulation),118,,,6,"Repetition at encoding, within-block",Words,Within-subjects (Encoding manipulation),"2 Repetition at encoding (1 time, 3 times)",Words,No,Yes,200,confidence,five minutes
Publish,NFR2013_e1,"Naber, M., Frassle, S., Rutishauser, U., & Einhauser, W. (2013). Pupil size signals novelty and predicts later retrieval success for declarative memories of natural scenes. Journal of Vision, 13(2), 11–11. doi:10.1167/13.2.11 (Exp 1)",No,None,16,16,,6,,"Images of houses, landscapes, vehicles, phones, animals",None,,"Images of houses, landscapes, vehicles, phones, animals",No,Yes,200,confidence,five minutes
Publish,NFR2013_e2,"Naber, M., Frassle, S., Rutishauser, U., & Einhauser, W. (2013). Pupil size signals novelty and predicts later retrieval success for declarative memories of natural scenes. Journal of Vision, 13(2), 11–11. doi:10.1167/13.2.11 (Exp 2)",No,None,16,16,,6,,"Images of bushes, mountains, mushrooms, water, forests",None,,"Images of bushes, mountains, mushrooms, water, forests",No,Yes,200,confidence,five minutes
Publish,NFR2013_e3,"Naber, M., Frassle, S., Rutishauser, U., & Einhauser, W. (2013). Pupil size signals novelty and predicts later retrieval success for declarative memories of natural scenes. Journal of Vision, 13(2), 11–11. doi:10.1167/13.2.11 (Exp 3)",No,None,16,16,,6,,"Images of houses, landscapes, vehicles, phones, animals",None,,"Images of houses, landscapes, vehicles, phones, animals",No,Yes,200,confidence,20 minutes
Publish,OBD2017_e1,"Osth, A. F., Bora, B., Dennis, S., & Heathcote, A. (2017). Diffusion vs. linear ballistic accumulation: Different models, different conclusions about the slope of the zROC in recognition memory. Journal of Memory and Language, 96, 36–61. doi:10.1016/j.jml.2017.04.003",Yes,Within-subjects (between-block),35,35,Collapsed across word frequency and concreteness manipulation,4,2 Test instructions (speed / accuracy),Words (4 - 7 letters),Within-subjects (between-block),"2 Test instructions (speed / accuracy) x 2 word frequency (high, low) x 2 concreteness (high, low)",Words (4 - 7 letters),Yes,Yes,1536,old/new + confidence,immediate
Publish,OZH2010_e1,"Onyper, S. V., Zhang, Y. X., & Howard, M. W. (2010). Some-or-none recollection: Evidence from item and source memory. Journal of Experimental Psychology: General, 139(2), 341–364. doi:10.1037/a0018926",No,Between-subjects,267,150,Sampled 150 participants.,8,Type of stimuli,Words and images of scenes,Between-subjects,"2 Type of stimuli (words, pictures)",Words and images of scenes,No,No,768,confidence,immediate
Publish,PCM2006_e1,"Prull, M. W., Dawes, L. L. C., Martin, A. M., Rosenberg, H. F., & Light, L. L. (2006). Recollection and familiarity in recognition memory: Adult age differences and neuropsychological test correlates. Psychology and Aging, 21(1), 107–118. doi:10.1037/0882-7974.21.1.107",Yes,Between-subjects,72,72,,6,Age,Words,"Between-subjects (Old, Young)","2 Age (young, old)",Words,Yes,Yes,360,confidence,immediate
Publish,PRM2010_e1,"Pratte, M. S., Rouder, J. N., & Morey, R. D. (2010). Separating mnemonic process from participant and item effects in the assessment of ROC asymmetries. Journal of Experimental Psychology: Learning, Memory, and Cognition, 36(1), 224–232. doi:10.1037/a0017682",Yes,None,97,97,,6,,Words,None,,Words,No,Yes,480,confidence,immediate
Publish,QGM2021_e1,"Quiñones, M., Gómez, D., Montefusco-Siegmund, R., & Aylwin, M. de la L. (2021). Early Visual Processing and Perception Processes in Object Discrimination Learning. Frontiers in Neuroscience, 15. doi:10.3389/fnins.2021.617824",No,Between-subjects,18,18,,6,Study duration,Images of checkerboard-patterns,Between-subjects,"2 Study duration (0.1 second, 1 second)",Images of checkerboard-patterns,Yes,Yes,360,confidence,immediate
Publish,RSP2012_e1,"Reinitz, M. T., Séguin, J. A., Peria, W., & Loftus, G. R. (2012). Confidence–accuracy relations for faces and scenes: Roles of features and familiarity. Psychonomic Bulletin & Review, 19(6), 1085–1093. doi:10.3758/s13423-012-0308-9",Yes,Within-subjects (Encoding manipulation),216,150,"Only scenes blocks, not faces blocks",8,Variable study duration,Images of scenes,Within-subjects ,"6 Variable study duration (16, 32, 64,128,256,512ms) x 2 stimulus domain (scenes, faces)",Images of scenes and faces (between-blocks),No,Yes,192,old/new + confidence,immediate
