"exp","id","block","item","isold","condition1","rating","RT","excluding"
"JW2019_e1","JW2019_e1_1",1,"'dog.bmp'",1,"Rhythmic",6,169,"Include"
"JW2019_e1","JW2019_e1_1",1,"'memorystick.bmp'",1,"Rhythmic",6,223,"Include"
"JW2019_e1","JW2019_e1_1",1,"'speakers.bmp'",1,"Rhythmic",6,220,"Include"
"JW2019_e1","JW2019_e1_1",1,"'brush3.bmp'",1,"Rhythmic",4,1943,"Include"
"JW2019_e1","JW2019_e1_1",1,"'glasses.bmp'",1,"Rhythmic",6,218,"Include"
"JW2019_e1","JW2019_e1_1",1,"'runningshoe.bmp'",1,"Rhythmic",6,189,"Include"
"JW2019_e1","JW2019_e1_1",1,"'belt.bmp'",1,"Rhythmic",4,1796,"Include"
"JW2019_e1","JW2019_e1_1",1,"'battery.bmp'",1,"Rhythmic",6,190,"Include"
"JW2019_e1","JW2019_e1_1",1,"'jewelrybox.bmp'",1,"Rhythmic",6,172,"Include"
"JW2019_e1","JW2019_e1_1",1,"'rake.bmp'",1,"Rhythmic",4,1638,"Include"
"JW2019_e1","JW2019_e1_1",1,"'tshirt.bmp'",1,"Rhythmic",6,166,"Include"
"JW2019_e1","JW2019_e1_1",1,"'sail_boat.bmp'",1,"Rhythmic",6,135,"Include"
"JW2019_e1","JW2019_e1_1",1,"'screw2.bmp'",1,"Rhythmic",6,425,"Include"
"JW2019_e1","JW2019_e1_1",1,"'ladle.bmp'",1,"Rhythmic",6,205,"Include"
"JW2019_e1","JW2019_e1_1",1,"'washing_machine.bmp'",1,"Rhythmic",6,135,"Include"
"JW2019_e1","JW2019_e1_1",1,"'greenonion.bmp'",1,"Rhythmic",6,19,"Include"
"JW2019_e1","JW2019_e1_1",1,"'envelope.bmp'",1,"Rhythmic",6,157,"Include"
"JW2019_e1","JW2019_e1_1",1,"'pizza.bmp'",1,"Rhythmic",6,108,"Include"
"JW2019_e1","JW2019_e1_1",1,"'mixer.bmp'",1,"Rhythmic",6,166,"Include"
"JW2019_e1","JW2019_e1_1",1,"'tortoise.bmp'",1,"Rhythmic",6,208,"Include"
"JW2019_e1","JW2019_e1_1",1,"'bottle.bmp'",1,"Rhythmic",6,255,"Include"
"JW2019_e1","JW2019_e1_1",1,"'comb.bmp'",1,"Rhythmic",6,3,"Include"
"JW2019_e1","JW2019_e1_1",1,"'bear.bmp'",1,"Rhythmic",6,48,"Include"
"JW2019_e1","JW2019_e1_1",1,"'flannel.bmp'",1,"Rhythmic",6,184,"Include"
"JW2019_e1","JW2019_e1_1",1,"'jukebox.bmp'",1,"Rhythmic",6,1144,"Include"
"JW2019_e1","JW2019_e1_1",1,"'alarmclock.bmp'",1,"Rhythmic",6,250,"Include"
"JW2019_e1","JW2019_e1_1",1,"'dice.bmp'",1,"Rhythmic",6,99,"Include"
"JW2019_e1","JW2019_e1_1",1,"'shelf.bmp'",1,"Rhythmic",3,4599,"Include"
"JW2019_e1","JW2019_e1_1",1,"'umbrella.bmp'",1,"Rhythmic",2,868,"Include"
"JW2019_e1","JW2019_e1_1",1,"'apple.bmp'",1,"Rhythmic",2,363,"Include"
"JW2019_e1","JW2019_e1_1",1,"'babybottle.bmp'",1,"Rhythmic",2,669,"Include"
"JW2019_e1","JW2019_e1_1",2,"'kleenexbox.bmp'",0,"Arrythmic",4,1051,"Include"
"JW2019_e1","JW2019_e1_1",2,"'roller.bmp'",0,"Arrythmic",5,1076,"Include"
"JW2019_e1","JW2019_e1_1",2,"'fox.bmp'",0,"Arrythmic",6,119,"Include"
"JW2019_e1","JW2019_e1_1",2,"'iceskate.bmp'",0,"Arrythmic",4,1771,"Include"
"JW2019_e1","JW2019_e1_1",2,"'case2.bmp'",0,"Arrythmic",5,871,"Include"
"JW2019_e1","JW2019_e1_1",2,"'chessboard.bmp'",0,"Arrythmic",5,420,"Include"
"JW2019_e1","JW2019_e1_1",2,"'armchair2.bmp'",0,"Arrythmic",6,617,"Include"
"JW2019_e1","JW2019_e1_1",2,"'lime.bmp'",0,"Arrythmic",6,76,"Include"
"JW2019_e1","JW2019_e1_1",2,"'rhino.bmp'",0,"Arrythmic",6,73,"Include"
"JW2019_e1","JW2019_e1_1",2,"'chimes.bmp'",0,"Arrythmic",1,259,"Include"
"JW2019_e1","JW2019_e1_1",2,"'chest.bmp'",0,"Arrythmic",2,678,"Include"
"JW2019_e1","JW2019_e1_1",2,"'weighing_scales.bmp'",0,"Arrythmic",2,742,"Include"
"JW2019_e1","JW2019_e1_1",2,"'donkey.bmp'",0,"Arrythmic",2,2068,"Include"
"JW2019_e1","JW2019_e1_1",2,"'egg.bmp'",0,"Arrythmic",2,185,"Include"
"JW2019_e1","JW2019_e1_1",2,"'vacuum_cleaner.bmp'",0,"Arrythmic",1,426,"Include"
"JW2019_e1","JW2019_e1_1",2,"'slipper.bmp'",0,"Arrythmic",1,318,"Include"
"JW2019_e1","JW2019_e1_1",2,"'giftbag.bmp'",0,"Arrythmic",3,1860,"Include"
"JW2019_e1","JW2019_e1_1",2,"'safetypin.bmp'",0,"Arrythmic",3,1857,"Include"
"JW2019_e1","JW2019_e1_1",2,"'harp.bmp'",0,"Arrythmic",3,888,"Include"
"JW2019_e1","JW2019_e1_1",2,"'electricrazor.bmp'",0,"Arrythmic",2,658,"Include"
"JW2019_e1","JW2019_e1_1",2,"'folder.bmp'",0,"Arrythmic",2,861,"Include"
"JW2019_e1","JW2019_e1_1",2,"'printer.bmp'",0,"Arrythmic",1,326,"Include"
"JW2019_e1","JW2019_e1_1",2,"'cone.bmp'",0,"Arrythmic",2,391,"Include"
"JW2019_e1","JW2019_e1_1",2,"'gloves.bmp'",0,"Arrythmic",1,196,"Include"
"JW2019_e1","JW2019_e1_1",2,"'truck.bmp'",0,"Arrythmic",1,199,"Include"
"JW2019_e1","JW2019_e1_1",2,"'stapleremover.bmp'",0,"Arrythmic",2,345,"Include"
"JW2019_e1","JW2019_e1_1",2,"'binoculars.bmp'",0,"Arrythmic",2,518,"Include"
"JW2019_e1","JW2019_e1_1",2,"'knife2.bmp'",0,"Arrythmic",1,189,"Include"
"JW2019_e1","JW2019_e1_1",2,"'sealion.bmp'",0,"Arrythmic",1,154,"Include"
"JW2019_e1","JW2019_e1_1",2,"'mars.bmp'",0,"Arrythmic",1,195,"Include"
"JW2019_e1","JW2019_e1_1",2,"'tuba.bmp'",0,"Arrythmic",1,1064,"Include"
"JW2019_e1","JW2019_e1_1",2,"'bowl2.bmp'",0,"Arrythmic",2,335,"Include"
"JW2019_e1","JW2019_e1_1",2,"'door.bmp'",0,"Arrythmic",3,1514,"Include"
"JW2019_e1","JW2019_e1_1",2,"'paintroller.bmp'",0,"Arrythmic",2,536,"Include"
"JW2019_e1","JW2019_e1_1",2,"'scooter.bmp'",0,"Arrythmic",2,656,"Include"
"JW2019_e1","JW2019_e1_1",2,"'jug.bmp'",0,"Arrythmic",1,109,"Include"
"JW2019_e1","JW2019_e1_1",2,"'banana.bmp'",0,"Arrythmic",1,128,"Include"
"JW2019_e1","JW2019_e1_1",2,"'hanger.bmp'",0,"Arrythmic",1,60,"Include"
"JW2019_e1","JW2019_e1_1",2,"'cement_mixer.bmp'",0,"Arrythmic",2,360,"Include"
"JW2019_e1","JW2019_e1_1",2,"'airplane2.bmp'",0,"Arrythmic",2,888,"Include"
"JW2019_e1","JW2019_e1_1",2,"'train.bmp'",1,"Arrythmic",6,389,"Include"
"JW2019_e1","JW2019_e1_1",2,"'sheep.bmp'",1,"Arrythmic",6,147,"Include"
"JW2019_e1","JW2019_e1_1",2,"'corkscrew3.bmp'",1,"Arrythmic",6,172,"Include"
"JW2019_e1","JW2019_e1_1",2,"'envelop2.bmp'",1,"Arrythmic",6,118,"Include"
"JW2019_e1","JW2019_e1_1",2,"'fishing.bmp'",1,"Arrythmic",6,221,"Include"
"JW2019_e1","JW2019_e1_1",2,"'bucket.bmp'",1,"Arrythmic",6,251,"Include"
"JW2019_e1","JW2019_e1_1",2,"'sock.bmp'",1,"Arrythmic",6,187,"Include"
"JW2019_e1","JW2019_e1_1",2,"'can.bmp'",1,"Arrythmic",6,57,"Include"
"JW2019_e1","JW2019_e1_1",2,"'cap.bmp'",1,"Arrythmic",6,240,"Include"
"JW2019_e1","JW2019_e1_1",2,"'armchair.bmp'",1,"Arrythmic",6,53,"Include"
"JW2019_e1","JW2019_e1_1",2,"'videocamera.bmp'",1,"Arrythmic",6,123,"Include"
"JW2019_e1","JW2019_e1_1",2,"'viola.bmp'",1,"Arrythmic",6,13,"Include"
"JW2019_e1","JW2019_e1_1",2,"'squirrel.bmp'",1,"Arrythmic",6,52,"Include"
"JW2019_e1","JW2019_e1_1",2,"'air_balloon.bmp'",1,"Arrythmic",6,28,"Include"
"JW2019_e1","JW2019_e1_1",2,"'hose.bmp'",1,"Arrythmic",4,773,"Include"
"JW2019_e1","JW2019_e1_1",2,"'can_opener.bmp'",1,"Arrythmic",6,142,"Include"
"JW2019_e1","JW2019_e1_1",2,"'avocado.bmp'",1,"Arrythmic",6,454,"Include"
"JW2019_e1","JW2019_e1_1",2,"'pingpong.bmp'",1,"Arrythmic",6,20,"Include"
"JW2019_e1","JW2019_e1_1",2,"'lighter.bmp'",1,"Arrythmic",6,100,"Include"
"JW2019_e1","JW2019_e1_1",2,"'computer.bmp'",1,"Arrythmic",6,114,"Include"
"JW2019_e1","JW2019_e1_1",2,"'moped.bmp'",1,"Arrythmic",6,79,"Include"
"JW2019_e1","JW2019_e1_1",2,"'jeans.bmp'",1,"Arrythmic",6,38,"Include"
"JW2019_e1","JW2019_e1_1",2,"'camel.bmp'",1,"Arrythmic",6,8,"Include"
"JW2019_e1","JW2019_e1_1",2,"'pencil.bmp'",1,"Arrythmic",6,44,"Include"
"JW2019_e1","JW2019_e1_1",2,"'tape_measure.bmp'",1,"Arrythmic",6,92,"Include"
"JW2019_e1","JW2019_e1_1",2,"'shorts.bmp'",1,"Arrythmic",6,117,"Include"
"JW2019_e1","JW2019_e1_1",2,"'lettuce.bmp'",1,"Arrythmic",6,84,"Include"
"JW2019_e1","JW2019_e1_1",2,"'dinner_chair.bmp'",1,"Arrythmic",6,141,"Include"
"JW2019_e1","JW2019_e1_1",2,"'vanilla.bmp'",1,"Arrythmic",6,923,"Include"
"JW2019_e1","JW2019_e1_1",2,"'wardrobe.bmp'",1,"Arrythmic",6,242,"Include"
"JW2019_e1","JW2019_e1_1",2,"'tomato.bmp'",1,"Arrythmic",5,1886,"Include"
"JW2019_e1","JW2019_e1_1",2,"'oboe.bmp'",1,"Arrythmic",6,219,"Include"
"JW2019_e1","JW2019_e1_1",2,"'deer.bmp'",1,"Arrythmic",6,33,"Include"
"JW2019_e1","JW2019_e1_1",2,"'icecubetray.bmp'",1,"Arrythmic",6,44,"Include"
"JW2019_e1","JW2019_e1_1",2,"'wineglass.bmp'",1,"Arrythmic",6,7,"Include"
"JW2019_e1","JW2019_e1_1",2,"'baseball.bmp'",1,"Arrythmic",2,1148,"Include"
"JW2019_e1","JW2019_e1_1",2,"'electric_guitar.bmp'",1,"Arrythmic",3,1608,"Include"
"JW2019_e1","JW2019_e1_1",2,"'clock.bmp'",1,"Arrythmic",2,353,"Include"
"JW2019_e1","JW2019_e1_1",2,"'lamp.bmp'",1,"Arrythmic",2,1098,"Include"
"JW2019_e1","JW2019_e1_1",2,"'toothbrush.bmp'",1,"Arrythmic",2,991,"Include"
"JW2019_e1","JW2019_e1_1",3,"'plate2.bmp'",0,"Rhythmic",6,200,"Include"
"JW2019_e1","JW2019_e1_1",3,"'bell.bmp'",0,"Rhythmic",4,1336,"Include"
"JW2019_e1","JW2019_e1_1",3,"'cherries.bmp'",0,"Rhythmic",4,2692,"Include"
"JW2019_e1","JW2019_e1_1",3,"'helicopter.bmp'",0,"Rhythmic",6,44,"Include"
"JW2019_e1","JW2019_e1_1",3,"'trombone.bmp'",0,"Rhythmic",3,2413,"Include"
"JW2019_e1","JW2019_e1_1",3,"'carpet.bmp'",0,"Rhythmic",1,157,"Include"
"JW2019_e1","JW2019_e1_1",3,"'hikingshoe.bmp'",0,"Rhythmic",1,203,"Include"
"JW2019_e1","JW2019_e1_1",3,"'brush4.bmp'",0,"Rhythmic",1,270,"Include"
"JW2019_e1","JW2019_e1_1",3,"'toaster.bmp'",0,"Rhythmic",1,232,"Include"
"JW2019_e1","JW2019_e1_1",3,"'hairdryer.bmp'",0,"Rhythmic",2,726,"Include"
"JW2019_e1","JW2019_e1_1",3,"'handbag.bmp'",0,"Rhythmic",1,485,"Include"
"JW2019_e1","JW2019_e1_1",3,"'panda.bmp'",0,"Rhythmic",1,213,"Include"
"JW2019_e1","JW2019_e1_1",3,"'brush.bmp'",0,"Rhythmic",2,647,"Include"
"JW2019_e1","JW2019_e1_1",3,"'toiletroll.bmp'",0,"Rhythmic",1,227,"Include"
"JW2019_e1","JW2019_e1_1",3,"'nappy.bmp'",0,"Rhythmic",1,337,"Include"
"JW2019_e1","JW2019_e1_1",3,"'bench.bmp'",0,"Rhythmic",2,432,"Include"
"JW2019_e1","JW2019_e1_1",3,"'flute.bmp'",0,"Rhythmic",2,524,"Include"
"JW2019_e1","JW2019_e1_1",3,"'hedge_clippers.bmp'",0,"Rhythmic",2,451,"Include"
"JW2019_e1","JW2019_e1_1",3,"'dresser2.bmp'",0,"Rhythmic",2,445,"Include"
"JW2019_e1","JW2019_e1_1",3,"'paintcan.bmp'",0,"Rhythmic",2,184,"Include"
"JW2019_e1","JW2019_e1_1",3,"'shirt.bmp'",0,"Rhythmic",1,271,"Include"
"JW2019_e1","JW2019_e1_1",3,"'toiletpaper.bmp'",0,"Rhythmic",1,512,"Include"
"JW2019_e1","JW2019_e1_1",3,"'penguin.bmp'",0,"Rhythmic",1,157,"Include"
"JW2019_e1","JW2019_e1_1",3,"'table.bmp'",0,"Rhythmic",1,230,"Include"
"JW2019_e1","JW2019_e1_1",3,"'piano.bmp'",0,"Rhythmic",2,412,"Include"
"JW2019_e1","JW2019_e1_1",3,"'iron.bmp'",0,"Rhythmic",1,693,"Include"
"JW2019_e1","JW2019_e1_1",3,"'garlicpress.bmp'",0,"Rhythmic",2,970,"Include"
"JW2019_e1","JW2019_e1_1",3,"'blueberry.bmp'",0,"Rhythmic",2,184,"Include"
"JW2019_e1","JW2019_e1_1",3,"'radish.bmp'",0,"Rhythmic",2,358,"Include"
"JW2019_e1","JW2019_e1_1",3,"'ottoman.bmp'",0,"Rhythmic",2,221,"Include"
"JW2019_e1","JW2019_e1_1",3,"'wirecutter.bmp'",0,"Rhythmic",1,176,"Include"
"JW2019_e1","JW2019_e1_1",3,"'frog.bmp'",0,"Rhythmic",1,46,"Include"
"JW2019_e1","JW2019_e1_1",3,"'spraybottle.bmp'",0,"Rhythmic",1,235,"Include"
"JW2019_e1","JW2019_e1_1",3,"'speedboat.bmp'",0,"Rhythmic",1,239,"Include"
"JW2019_e1","JW2019_e1_1",3,"'colander.bmp'",0,"Rhythmic",1,171,"Include"
"JW2019_e1","JW2019_e1_1",3,"'bicycle.bmp'",0,"Rhythmic",1,148,"Include"
"JW2019_e1","JW2019_e1_1",3,"'giraffe.bmp'",0,"Rhythmic",1,59,"Include"
"JW2019_e1","JW2019_e1_1",3,"'bread.bmp'",0,"Rhythmic",1,69,"Include"
"JW2019_e1","JW2019_e1_1",3,"'calculator2.bmp'",0,"Rhythmic",1,36,"Include"
"JW2019_e1","JW2019_e1_1",3,"'lock.bmp'",0,"Rhythmic",1,80,"Include"
"JW2019_e1","JW2019_e1_1",3,"'soap.bmp'",1,"Rhythmic",6,394,"Include"
"JW2019_e1","JW2019_e1_1",3,"'highlighter.bmp'",1,"Rhythmic",6,139,"Include"
"JW2019_e1","JW2019_e1_1",3,"'blackberry.bmp'",1,"Rhythmic",6,566,"Include"
"JW2019_e1","JW2019_e1_1",3,"'foodprocessor.bmp'",1,"Rhythmic",6,81,"Include"
"JW2019_e1","JW2019_e1_1",3,"'thread.bmp'",1,"Rhythmic",6,30,"Include"
"JW2019_e1","JW2019_e1_1",3,"'xylophone.bmp'",1,"Rhythmic",6,621,"Include"
"JW2019_e1","JW2019_e1_1",3,"'branch.bmp'",1,"Rhythmic",6,82,"Include"
"JW2019_e1","JW2019_e1_1",3,"'dresser.bmp'",1,"Rhythmic",6,56,"Include"
"JW2019_e1","JW2019_e1_1",3,"'CD.bmp'",1,"Rhythmic",6,109,"Include"
"JW2019_e1","JW2019_e1_1",3,"'heel.bmp'",1,"Rhythmic",6,16,"Include"
"JW2019_e1","JW2019_e1_1",3,"'icecream.bmp'",1,"Rhythmic",6,47,"Include"
"JW2019_e1","JW2019_e1_1",3,"'eagle.bmp'",1,"Rhythmic",6,75,"Include"
"JW2019_e1","JW2019_e1_1",3,"'rabbit.bmp'",1,"Rhythmic",6,106,"Include"
"JW2019_e1","JW2019_e1_1",3,"'cardboardbox.bmp'",1,"Rhythmic",6,405,"Include"
"JW2019_e1","JW2019_e1_1",3,"'stickynotes.bmp'",1,"Rhythmic",6,188,"Include"
"JW2019_e1","JW2019_e1_1",3,"'wateringcan.bmp'",1,"Rhythmic",6,54,"Include"
"JW2019_e1","JW2019_e1_1",3,"'drawers.bmp'",1,"Rhythmic",6,358,"Include"
"JW2019_e1","JW2019_e1_1",3,"'soapdispenser.bmp'",1,"Rhythmic",6,65,"Include"
"JW2019_e1","JW2019_e1_1",3,"'screw.bmp'",1,"Rhythmic",6,113,"Include"
"JW2019_e1","JW2019_e1_1",3,"'coffeepot.bmp'",1,"Rhythmic",6,113,"Include"
"JW2019_e1","JW2019_e1_1",3,"'sport_car.bmp'",1,"Rhythmic",6,173,"Include"
"JW2019_e1","JW2019_e1_1",3,"'rolling_pin.bmp'",1,"Rhythmic",6,41,"Include"
"JW2019_e1","JW2019_e1_1",3,"'drum2.bmp'",1,"Rhythmic",6,149,"Include"
"JW2019_e1","JW2019_e1_1",3,"'coconut.bmp'",1,"Rhythmic",6,658,"Include"
"JW2019_e1","JW2019_e1_1",3,"'radio.bmp'",1,"Rhythmic",6,32,"Include"
"JW2019_e1","JW2019_e1_1",3,"'sock2.bmp'",1,"Rhythmic",6,117,"Include"
"JW2019_e1","JW2019_e1_1",3,"'banjo.bmp'",1,"Rhythmic",6,68,"Include"
"JW2019_e1","JW2019_e1_1",3,"'book.bmp'",1,"Rhythmic",6,4,"Include"
"JW2019_e1","JW2019_e1_1",3,"'pig.bmp'",1,"Rhythmic",6,24,"Include"
"JW2019_e1","JW2019_e1_1",3,"'lollipop.bmp'",1,"Rhythmic",6,122,"Include"
"JW2019_e1","JW2019_e1_1",3,"'tractor.bmp'",1,"Rhythmic",6,150,"Include"
"JW2019_e1","JW2019_e1_1",3,"'pliers.bmp'",1,"Rhythmic",6,336,"Include"
"JW2019_e1","JW2019_e1_1",3,"'stool2.bmp'",1,"Rhythmic",6,45,"Include"
"JW2019_e1","JW2019_e1_1",3,"'snowpeas.bmp'",1,"Rhythmic",6,69,"Include"
"JW2019_e1","JW2019_e1_1",3,"'hairclipper.bmp'",1,"Rhythmic",6,102,"Include"
"JW2019_e1","JW2019_e1_1",3,"'hat.bmp'",1,"Rhythmic",6,31,"Include"
"JW2019_e1","JW2019_e1_1",3,"'grater.bmp'",1,"Rhythmic",6,87,"Include"
"JW2019_e1","JW2019_e1_1",3,"'shorts2.bmp'",1,"Rhythmic",6,114,"Include"
"JW2019_e1","JW2019_e1_1",3,"'tv.bmp'",1,"Rhythmic",6,57,"Include"
"JW2019_e1","JW2019_e1_1",3,"'elephant.bmp'",1,"Rhythmic",6,78,"Include"
"JW2019_e1","JW2019_e1_1",4,"'chair2.bmp'",0,"Arrythmic",6,144,"Include"
"JW2019_e1","JW2019_e1_1",4,"'boat.bmp'",0,"Arrythmic",4,1544,"Include"
"JW2019_e1","JW2019_e1_1",4,"'cheese.bmp'",0,"Arrythmic",1,1093,"Include"
"JW2019_e1","JW2019_e1_1",4,"'shoe.bmp'",0,"Arrythmic",1,280,"Include"
"JW2019_e1","JW2019_e1_1",4,"'strainer.bmp'",0,"Arrythmic",1,220,"Include"
"JW2019_e1","JW2019_e1_1",4,"'speaker.bmp'",0,"Arrythmic",1,88,"Include"
"JW2019_e1","JW2019_e1_1",4,"'wrench.bmp'",0,"Arrythmic",1,130,"Include"
"JW2019_e1","JW2019_e1_1",4,"'cup2.bmp'",0,"Arrythmic",1,192,"Include"
"JW2019_e1","JW2019_e1_1",4,"'clock2.bmp'",0,"Arrythmic",1,130,"Include"
"JW2019_e1","JW2019_e1_1",4,"'vinyl.bmp'",0,"Arrythmic",1,369,"Include"
"JW2019_e1","JW2019_e1_1",4,"'potato.bmp'",0,"Arrythmic",1,425,"Include"
"JW2019_e1","JW2019_e1_1",4,"'wash.bmp'",0,"Arrythmic",1,69,"Include"
"JW2019_e1","JW2019_e1_1",4,"'jumper.bmp'",0,"Arrythmic",1,127,"Include"
"JW2019_e1","JW2019_e1_1",4,"'cauliflower.bmp'",0,"Arrythmic",1,169,"Include"
"JW2019_e1","JW2019_e1_1",4,"'lorry.bmp'",0,"Arrythmic",1,106,"Include"
"JW2019_e1","JW2019_e1_1",4,"'stool.bmp'",0,"Arrythmic",1,208,"Include"
"JW2019_e1","JW2019_e1_1",4,"'ridinghelmet.bmp'",0,"Arrythmic",1,110,"Include"
"JW2019_e1","JW2019_e1_1",4,"'pictureframe.bmp'",0,"Arrythmic",1,40,"Include"
"JW2019_e1","JW2019_e1_1",4,"'horse.bmp'",0,"Arrythmic",1,84,"Include"
"JW2019_e1","JW2019_e1_1",4,"'pencilsharpener.bmp'",0,"Arrythmic",1,132,"Include"
"JW2019_e1","JW2019_e1_1",4,"'candle.bmp'",0,"Arrythmic",1,114,"Include"
"JW2019_e1","JW2019_e1_1",4,"'monkey.bmp'",0,"Arrythmic",1,89,"Include"
"JW2019_e1","JW2019_e1_1",4,"'beanbag.bmp'",0,"Arrythmic",1,55,"Include"
"JW2019_e1","JW2019_e1_1",4,"'motorcycle.bmp'",0,"Arrythmic",1,234,"Include"
"JW2019_e1","JW2019_e1_1",4,"'lion.bmp'",0,"Arrythmic",1,95,"Include"
"JW2019_e1","JW2019_e1_1",4,"'bowtie.bmp'",0,"Arrythmic",1,43,"Include"
"JW2019_e1","JW2019_e1_1",4,"'magnifingglass.bmp'",0,"Arrythmic",1,109,"Include"
"JW2019_e1","JW2019_e1_1",4,"'triangle.bmp'",0,"Arrythmic",1,112,"Include"
"JW2019_e1","JW2019_e1_1",4,"'box.bmp'",0,"Arrythmic",1,67,"Include"
"JW2019_e1","JW2019_e1_1",4,"'kangaroo.bmp'",0,"Arrythmic",1,997,"Include"
"JW2019_e1","JW2019_e1_1",4,"'cymbals.bmp'",0,"Arrythmic",1,81,"Include"
